"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"ACAA1",26.2292323125,26.1151242275,0.232921808882377,0.0969281065185156,-0.639646911141339,26.16017008,26.18418646,0.153114748133395,0.220225823099213,0.126627095352236,0.472405590747246,0.875616873650569,0.489576542495951,0.783146033843254,0.965161001193529,0.795864777357802,25.97642136,26.12038422,26.17905998,26.18463135,26.20121956,26.34265518,26.456213,25.91684151,NA
"ACAA2",27.74262762,27.599905015,0.131651257448728,0.0286031528479122,-1.49819080317722,27.675264835,27.6672678,0.121855864790695,0.129763381183782,-0.0635332075029368,0.155718348002854,0.926766532116083,0.810555806970163,0.547667459630489,0.977982351486427,0.942850851677961,27.62449837,27.56238174,27.61974907,27.59299088,27.84607315,27.66810608,27.861063,27.59526825,NA
"ACAD8",27.82401657,27.7519497875,0.0819120435116507,0.310645832728942,-0.317240310269332,27.7394394875,27.83652687,0.203937246529367,0.242483930618641,0.433346242662612,0.724417379783667,0.637120535339304,0.939325498708327,0.911299296653182,0.875922779699907,0.983399422401386,27.92835236,27.46302795,28.09853554,27.5178833,27.84971619,27.71666145,27.91285133,27.81683731,NA
"ACAD9",24.533127785,25.3189673425,1.23828007794459,1.0170076588567,0.693556167144657,24.7785172475,25.07357788,1.31324871508032,1.0939265503076,0.244139681947319,0.339144139433648,0.704715246062834,0.149643296748648,0.706831319622215,0.902717142811533,0.541396711020119,26.13832855,25.49454308,25.79766083,23.84533691,23.16721535,24.31398201,26.1712532,24.48006058,NA
"ACADL",26.4137206075,26.4517169,0.164806052198125,0.126669344634595,0.258513600727012,26.4618124975,26.40362501,0.199143402516664,0.0474694916779571,-0.401955775465532,0.771796386768857,0.65938879739697,0.770206224931514,0.927579059098226,0.885845379392449,0.926753123228702,26.37247086,26.62742233,26.45974922,26.34722519,26.62449837,26.22285843,26.38911438,26.41841125,NA
"ACADS",26.680321455,28.20118808625,2.89935213430981,1.20638438549391,0.684908102050684,27.6108708375,27.27063870375,2.14368334052877,2.55378442874948,-0.144308778503375,0.226161751401875,0.78019425172138,0.805872290424166,0.624713212666716,0.932838425672941,0.941120377851348,27.11941528,27.0519619,26.93415833,27.19507217,26.79921722,23.07313156,22.54001045,24.51996231,NA
"ACADS",26.680321455,28.20118808625,2.89935213430981,1.20638438549391,0.684908102050684,27.6108708375,27.27063870375,2.14368334052877,2.55378442874948,-0.144308778503375,0.226161751401875,0.78019425172138,0.805872290424166,0.624713212666716,0.932838425672941,0.941120377851348,29.31620216,29.39862442,29.29055023,29.3035202,28.93137169,29.19704247,29.16729546,29.21454048,NA
"ACADSB",29.51892328,29.594921585,0.0749405573469216,0.115361477879255,0.781282919444307,29.6205086675,29.4933361975,0.0925479349810522,0.0585477662768669,-1.64227124909663,0.168253651605725,0.0482553174331434,0.233268261957405,0.56523127949557,0.350021564879453,0.628462774186801,29.70120811,29.67927551,29.54047012,29.4587326,29.60556602,29.49598503,29.54532051,29.42882156,NA
"ACADVL",28.6542224875,28.8297476775,0.227666931037444,0.0714800836672881,1.04025422284801,28.8260989175,28.6578712475,0.0747640331979604,0.230270135789114,-0.982679196757685,0.203452900193558,0.219214578213386,0.6273463195411,0.600986649485899,0.619398107952551,0.871650884111042,28.85177231,28.91527557,28.80550385,28.74643898,28.79662132,28.74072647,28.76509094,28.31445122,NA
"ACAT1",29.7433314325,29.67759657,0.154763567409568,0.130147218144973,-0.45972898049727,29.816378595,29.6045494075,0.0945541368172695,0.070113387068909,-2.54493112755617,0.36222781756642,0.0296179511066567,0.8867655616268,0.718418504840066,0.277617575955203,0.96890957358086,29.83154488,29.72577286,29.6232605,29.52980804,29.94223595,29.76596069,29.69273758,29.57239151,NA
